"p_id","price","glm"
19228,465000,455001.585287308
15036,279900,280273.274801734
17235,485000,410691.332769421
16264,515000,360940.104637931
16864,240000,288185.181861382
14435,590000,475249.779400557
16419,245000,240548.289120114
14768,325000,335420.829879726
17691,385000,344297.216640346
19757,359000,382029.216109156
13714,355000,324688.372456862
17087,349900,381568.349409861
21254,330000,334165.367497187
17134,205000,280111.22989785
17624,470000,366301.076116172
22371,575000,503032.648768245
20008,260150,290693.062608549
17740,312987,356105.406021207
22646,318900,387811.658725025
16384,434500,335284.278635661
15341,278900,324882.025425386
19989,219000,307838.981689811
21288,318000,412204.924847161
16442,525000,450737.95215563
21778,559000,570407.603909908
21776,202900,303816.201207145
20271,480000,390263.395441344
16826,274900,429088.20752524
18887,547700,511139.609348051
16255,450000,390473.925424057
22195,328000,352609.520919307
14527,315000,336138.422194202
16468,390000,365707.6965637
18668,225000,265921.591592557
15877,235000,404419.073752598
21772,485000,432605.021631208
18348,465000,318443.738672033
16828,260000,309882.70769212
18442,229900,256388.706474802
18399,419000,430934.305246007
21209,220000,292072.217925601
18626,242000,411479.358339194
20806,394999,386974.923686171
21504,215000,202682.505973947
18141,390000,433337.427407446
19312,395000,392645.684834857
16935,435900,477277.992821832
23041,418000,369982.815980712
21728,370000,340705.883181242
15836,345000,393872.735335556
13427,395000,357890.620041529
15587,299000,422280.834149477
15672,215000,376065.30715592
17996,329000,237969.605951238
18715,245000,376200.514602091
22990,299000,279591.726855765
14388,525000,444152.339244767
18597,209900,271523.421710904
18425,434000,478610.814105251
15891,399000,501508.260106855
15610,255000,280913.257346354
16724,275000,340750.307713866
16349,255000,347141.22253511
19311,283000,283085.499974095
15585,230000,426266.538206628
17288,360000,348901.440366831
22717,200000,309883.5358001
22503,359999,339369.96122491
17250,379900,383043.341001722
19851,369000,402851.018196623
16420,449900,390824.539260295
22865,420000,390362.283677537
19286,585000,375561.645580279
15039,275000,285412.706546771
21741,465000,421570.643503972
21284,599000,472301.838561541
22135,209000,316086.60660154
22093,229500,325481.69135354
17927,260000,280396.684806461
13581,289000,237162.993491309
21256,379000,429964.677347134
13227,525000,346154.932173967
17966,350000,444315.50647605
18879,399000,323378.18013263
15221,349000,411863.104381121
22562,205000,146236.121463014
17081,440000,357911.119606413
16814,230000,284062.843348995
18382,349900,439481.977296997
18123,265000,294930.682700411
18791,370000,465749.215623023
16318,320000,390125.700584399
14638,335000,350304.533596696
13695,215000,279171.494776143
20889,375000,329729.059265214
13451,499000,341481.941202875
20273,339000,343796.259720028
16479,328000,357476.495151934
18607,250000,384596.05598336
17830,599000,457838.926839662
16049,309000,336097.628795756
13191,445000,357890.620041529
16879,420000,451803.545315013
18000,350000,404566.397960758
13146,599000,403127.356758374
18286,279900,270472.282310197
14241,239900,298603.884662562
19864,450000,397064.751137004
14101,340000,414354.376475973
22772,419000,499838.522482188
15586,445000,416145.428287858
17802,327000,333457.994113583
20284,556000,476331.199799839
18637,299000,292507.244127124
16804,219000,284062.843348995
17193,330599,282061.860458164
18253,389000,342477.001236348
17073,224787,282287.93047802
21278,380000,433052.737324174
17556,580000,448633.356914069
22359,319000,322660.990654729
18783,399000,420727.143488692
18928,220000,193783.292353857
16294,525000,332174.144578942
19531,315000,358117.830526154
16152,249900,319000.21886705
18333,314900,286886.628359593
15033,339500,312820.144112433
20216,207000,274315.811894569
14783,598000,528853.949233899
20564,310000,405495.228261508
17937,595000,433991.520662974
18492,580000,450561.006126447
19841,325000,342014.14748648
18679,269000,387811.658725025
14758,539000,465140.360613483
15718,400000,445909.771531433
20937,249000,336236.907020372
18907,329000,407372.020553876
14561,399000,251811.896749727
18003,389900,404566.397960758
18816,585000,411465.956829633
18022,200000,184671.203331978
16397,485000,441492.119910484
23302,495000,473571.558452896
17545,285000,354644.115311735
16929,474000,462386.243191554
17845,380000,377614.863156618
18352,499000,293138.755460937
14434,217900,295837.982815207
22535,390000,301974.540602373
16858,296000,255572.209456268
17362,309000,299655.736560169
19998,549900,386536.598802685
19866,300000,361446.002299102
22486,275000,325564.211684615
14833,270000,299539.492251536
14077,259900,268111.687960121
22904,565000,403853.211957194
14108,419000,452091.739478314
19842,410000,429842.434036181
22467,493000,475543.610685719
16441,295000,314759.766313263
15565,340000,243588.555236893
19320,279000,302896.594113384
15364,339900,349086.619812924
14111,285000,373670.336294537
17155,305000,419481.697779703
17885,440000,483476.690815745
16314,415000,407747.625846745
22670,515000,413211.00557326
19317,380000,392645.684834857
13707,570000,316335.716455439
17523,490000,363178.759862445
14831,290000,252596.704768138
17223,415000,384569.806383749
19695,515000,363620.188924207
18565,545000,478030.933342143
15898,432900,312969.884643742
21483,265000,302055.629273154
20552,495000,501089.902541979
16942,215705,328678.693523364
16860,405000,371725.811421202
14255,329000,311505.503847214
21460,365000,387341.10006111
13184,315000,376473.201057033
14680,495000,477792.145555828
14058,449000,462409.657699778
16990,419000,387082.490682778
17042,395000,357138.665765183
13350,475000,460724.917067465
14376,358000,448501.038629608
17075,350000,370825.627637075
18011,360000,351257.059271882
17678,500000,489814.751638514
18056,525000,505326.607339657
14254,350000,311505.503847214
19754,289000,433012.076710137
21281,430000,433052.737324174
16374,430000,428007.673772937
19176,574900,458545.565406772
13797,250000,333770.601782669
16943,229500,320613.253160836
16227,235000,280495.182781158
16258,550000,345760.572941358
15611,420000,417358.02053396
19057,249900,385391.741711847
22326,590000,404210.400567423
20167,535000,461500.876033023
21016,223660,316279.361755282
20084,315000,353280.784778609
19247,317400,256764.01670992
18781,569000,379870.355930909
21201,435000,373641.748257343
18915,230000,359645.429918909
22606,365000,432147.470047035
19187,262000,215765.322980294
18237,390000,417310.048172875
17864,299000,345344.328375868
19307,355000,392645.684834857
15515,254000,252980.28634625
21277,409000,433052.737324174
21899,560000,446865.297723838
14391,375000,362089.828500283
19541,435000,472974.16310505
16438,319000,295341.691893991
13163,349000,249878.583264067
18876,245900,263502.252577942
20472,578900,462664.911997768
14006,339000,366525.915315728
14634,340000,441076.849400379
20741,395000,338359.12644042
22365,385000,356953.845974522
13117,394000,326717.909998311
17598,425000,443485.470893772
16197,495000,519030.649884338
19306,249000,279500.596193163
16125,560000,484891.538935884
18824,250000,373020.353237818
20586,475000,436748.854501887
18300,499000,402289.283612762
15856,475000,460724.917067465
15346,249900,324882.025425386
17736,210000,256526.704531987
18864,459000,471746.139844235
14525,330000,356700.74620422
19024,325000,421450.596777587
21662,359000,386760.297553393
17405,529000,466962.709791827
16701,254900,278389.942373228
15878,274900,404419.073752598
21805,595000,478783.921991317
18540,315000,394088.805305057
20104,449000,411656.18550004
18402,234000,270954.62747418
17542,255000,302336.419474848
20085,315000,353280.784778609
16376,454900,428007.673772937
13557,434500,335284.278635661
21800,309000,336915.076862909
15545,359900,257311.358032605
13325,399000,501508.260106855
16898,259900,183646.532142516
21397,399000,328711.946766319
14304,229000,231277.462883215
20010,208450,270472.310506373
21217,570000,420944.924439483
19836,339200,390066.111962183
22346,399900,370969.330314428
17734,205000,264275.0021267
18882,439000,333381.081482868
22984,450900,451405.949382618
20116,220000,371179.497515233
17368,430000,306417.634775907
20697,229000,286222.094097217
14803,299000,234426.750453465
13905,239900,160109.544421713
13980,399900,353234.82379521
18691,259000,285036.516166472
15530,525525,500906.778815258
14044,450000,422689.043911724
16359,375000,439911.086161007
20936,237000,334214.524120603
13865,309998,343302.814540529
18207,374000,374462.921819032
20582,425000,445316.253655372
17771,218000,275571.659707131
13749,225000,359167.780491895
17557,580000,448633.356914069
17560,315000,291823.532049127
18726,229000,244259.799271668
17190,365000,370328.206241948
14834,265000,252596.704768138
18194,260000,293678.055032832
13708,398000,312871.150618871
19423,525000,380195.418309507
19521,395000,354477.663815825
18782,359900,420727.143488692
16538,449500,358750.54853363
13923,245000,238596.651548614
13624,252000,282695.322043355
